x,y,date,hour,dx,dy,dist,dt,R2n,abs.angle,rel.angle,id,burst,pkey,fix
350173.1023,7759793.199,2007-03-20,22:00:53,-526.9138031,-193.3054374,561.2531942,14396,0,-2.789974372,NA,Amadeo,Amadeo_1,Amadeo.2007-03-20 22:00:53,Amadeo_1_1
349646.1884,7759599.894,2007-03-21,2:00:49,-1.496138551,-3.345036759,3.664382824,7177,315005.148,-1.991378651,0.798595721,Amadeo,Amadeo_1,Amadeo.2007-03-21 02:00:49,Amadeo_1_2
349644.6923,7759596.549,2007-03-21,4:00:26,1685.264498,-1028.78892,1974.467794,7245,317888.4754,-0.548076216,1.443302436,Amadeo,Amadeo_1,Amadeo.2007-03-21 04:00:26,Amadeo_1_3
351329.9568,7758567.76,2007-03-21,6:01:11,941.4985673,-4040.648977,4148.887044,7200,2840014.174,-1.341874118,-0.793797902,Amadeo,Amadeo_1,Amadeo.2007-03-21 06:01:11,Amadeo_1_4
352271.4554,7754527.111,2007-03-21,8:01:11,805.3481413,-1711.894515,1891.869039,7182,32134772.57,-1.131072965,0.210801152,Amadeo,Amadeo_1,Amadeo.2007-03-21 08:01:11,Amadeo_1_5
353076.8035,7752815.216,2007-03-21,10:00:53,-1062.674658,-570.8678483,1206.303249,7192,57123726.2,-2.648630496,-1.51755753,Amadeo,Amadeo_1,Amadeo.2007-03-21 10:00:53,Amadeo_1_6
352014.1289,7752244.349,2007-03-21,12:00:45,38.01805936,18.50330814,42.2817366,7341,60374526.38,0.45294938,3.101579875,Amadeo,Amadeo_1,Amadeo.2007-03-21 12:00:45,Amadeo_1_7
352052.1469,7752262.852,2007-03-21,14:03:06,-10.15757086,112.7030026,113.1598119,7097,60236941.22,1.660680368,1.207730988,Amadeo,Amadeo_1,Amadeo.2007-03-21 14:03:06,Amadeo_1_8
352041.9893,7752375.555,2007-03-21,16:01:23,2.262538538,-2.028475321,3.038715643,7205,58514187.78,-0.730904868,-2.391585236,Amadeo,Amadeo_1,Amadeo.2007-03-21 16:01:23,Amadeo_1_9
352044.2519,7752373.526,2007-03-21,18:01:28,-6.918147272,6.693143069,9.625950645,7227,58552746.89,2.372723688,3.103628556,Amadeo,Amadeo_1,Amadeo.2007-03-21 18:01:28,Amadeo_1_10
352037.3337,7752380.22,2007-03-21,20:01:55,3.668105796,-33.14469771,33.34705364,7272,58427627.9,-1.460575392,2.449886227,Amadeo,Amadeo_1,Amadeo.2007-03-21 20:01:55,Amadeo_1_11
352041.0018,7752347.075,2007-03-21,22:03:07,1.667214164,30.79945964,30.84455085,7142,58933818.27,1.516717826,2.977293218,Amadeo,Amadeo_1,Amadeo.2007-03-21 22:03:07,Amadeo_1_12
352042.6691,7752377.874,2007-03-22,0:02:09,-5.839580445,3.912818146,7.029284858,7124,58482324.82,2.551250539,1.034532713,Amadeo,Amadeo_1,Amadeo.2007-03-22 00:02:09,Amadeo_1_13
352036.8295,7752381.787,2007-03-22,2:00:53,-118.0987968,94.19634322,151.0638172,7197,58402509.62,2.468312996,-0.082937544,Amadeo,Amadeo_1,Amadeo.2007-03-22 02:00:53,Amadeo_1_14
351918.7307,7752475.984,2007-03-22,4:00:50,-1044.963537,-45.04923051,1045.93414,7278,56588866.16,-3.098508516,0.716363796,Amadeo,Amadeo_1,Amadeo.2007-03-22 04:00:50,Amadeo_1_15
