x,y,date,hour,dx,dy,dist,dt,R2n,abs.angle,rel.angle,id,burst,pkey,fix
350173.1023,7759793.199,2007-03-20,22:00:53,-526.9138031,-193.3054374,561.2531942,14396,0,-2.789974372,NA,Amadeo,Amadeo_1,Amadeo.2007-03-20 22:00:53,Amadeo_1_1
349646.1884,7759599.894,2007-03-21,2:00:49,-1.496138551,-3.345036759,3.664382824,7177,315005.148,-1.991378651,0.798595721,Amadeo,Amadeo_1,Amadeo.2007-03-21 02:00:49,Amadeo_1_2
349644.6923,7759596.549,2007-03-21,4:00:26,1685.264498,-1028.78892,1974.467794,7245,317888.4754,-0.548076216,1.443302436,Amadeo,Amadeo_1,Amadeo.2007-03-21 04:00:26,Amadeo_1_3
351931.9401,7752523.387,2007-03-25,4:00:55,-515.9638531,-844.5560191,989.6936734,7200,55943677.32,-2.119213202,-1.658405075,Amadeo,Amadeo_1,Amadeo.2007-03-25 04:00:55,Amadeo_1_4
349305.1618,7760269.605,2008-03-05,14:01:25,NA,NA,NA,NA,980282.8095,NA,NA,Amadeo,Amadeo_1,Amadeo.2008-03-05 14:01:25,Amadeo_1_4
352750.0182,7752350.473,2008-03-30,12:00:56,-413.8460638,573.137084,706.9332936,7227,33700499.97,2.196182431,-2.763167474,Amadeo,Amadeo_3,Amadeo.2008-03-30 12:00:56,Amadeo_3_1
352336.1721,7752923.61,2008-03-30,14:01:23,-13.64698739,-20.89498575,24.95677652,7255,26403924.08,-2.149363564,1.937639311,Amadeo,Amadeo_3,Amadeo.2008-03-30 14:01:23,Amadeo_3_2
352322.5251,7752902.715,2008-03-30,16:02:18,21.20320883,37.23234625,42.84651295,7247,26575173.95,1.053117686,-3.080704057,Amadeo,Amadeo_3,Amadeo.2008-03-30 16:02:18,Amadeo_3_3
352343.7283,7752939.948,2008-03-30,18:03:05,-41.66529001,-46.40752469,62.36709661,14358,26262475.55,-2.302401958,2.927665663,Amadeo,Amadeo_3,Amadeo.2008-03-30 18:03:05,Amadeo_3_4
350173.1023,7759793.199,2007-03-20,22:00:53,-526.9138031,-193.3054374,561.2531942,14396,0,-2.789974372,NA,Amadeo,Amadeo_1,Amadeo.2007-03-20 22:00:53,Amadeo_3_5
